Date;ValueDate;Reference;Description;Debit;Credit;Balance;Amount;Direction;Account;Journal;Analytic
2026-11-10;;;REGLEMENT CLIENT DELTA;0.00;245000.00;;245000.00;C;512000;BQ;
2026-11-11;;;VIR SALAIRES;1420500.00;0.00;;-1420500.00;D;512000;BQ;
2026-11-12;;;FOURNISSEUR INFORMATIQUE;84500.00;0.00;;-84500.00;D;512000;BQ;
2026-11-13;;;REGLEMENT CLIENT GAMMA;0.00;85000.00;;85000.00;C;512000;BQ;
2026-11-14;;;CNSS;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-11-15;;;TVA A PAYER;18500.00;0.00;;-18500.00;D;512000;BQ;
2026-11-16;;;REGLEMENT CLIENT BETA;0.00;380000.00;;380000.00;C;512000;BQ;
2026-11-17;;;ELECTRICITE ONEE;126800.00;0.00;;-126800.00;D;512000;BQ;
2026-11-18;;;ASSURANCE;48500.00;0.00;;-48500.00;D;512000;BQ;
2026-11-19;;;REGLEMENT CLIENT ALPHA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-11-20;;;FOURNISSEUR LOGISTIQUE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-11-21;;;VIR SALAIRES;1420500.00;0.00;;-1420500.00;D;512000;BQ;
2026-11-22;;;REGLEMENT CLIENT DELTA;0.00;380000.00;;380000.00;C;512000;BQ;
2026-11-23;;;FOURNISSEUR BUREAUTIQUE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-11-24;;;CNSS;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-11-25;;;REGLEMENT CLIENT GAMMA;0.00;640000.00;;640000.00;C;512000;BQ;
2026-11-26;;;LOYER SIEGE;126800.00;0.00;;-126800.00;D;512000;BQ;
2026-11-27;;;ELECTRICITE ONEE;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-11-28;;;REGLEMENT CLIENT BETA;0.00;640000.00;;640000.00;C;512000;BQ;
2026-11-29;;;FRAIS BANCAIRES;32400.00;0.00;;-32400.00;D;512000;BQ;
2026-11-30;;;FOURNISSEUR LOGISTIQUE;48500.00;0.00;;-48500.00;D;512000;BQ;
